Nama Kabupaten,Nama Kecamatan,Nama Desa,Tahun,Bulan,jenis_kendaraan,null,Nilai atau Jumlah,Satuan
"Kab. Kotawaringin Barat","-","-","2023","-","Roda 2","",208685,""
"Kab. Kotawaringin Barat","-","-","2023","-","Roda 3","",394,""
"Kab. Kotawaringin Barat","-","-","2023","-","Roda 4","",32548,""
"Kab. Kotawaringin Timur","-","-","2023","-","Roda 2","",294151,""
"Kab. Kotawaringin Timur","-","-","2023","-","Roda 3","",1152,""
"Kab. Kotawaringin Timur","-","-","2023","-","Roda 4","",44224,""
"Kab. Kapuas","-","-","2023","-","Roda 2","",110237,""
"Kab. Kapuas","-","-","2023","-","Roda 3","",448,""
"Kab. Kapuas","-","-","2023","-","Roda 4","",10235,""
"Kab. Barito Selatan","-","-","2023","-","Roda 2","",50025,""
"Kab. Barito Selatan","-","-","2023","-","Roda 3","",94,""
"Kab. Barito Selatan","-","-","2023","-","Roda 4","",3926,""
"Kab. Barito Utara","-","-","2023","-","Roda 2","",86142,""
"Kab. Barito Utara","-","-","2023","-","Roda 3","",122,""
"Kab. Barito Utara","-","-","2023","-","Roda 4","",6788,""
"Kab. Katingan","-","-","2023","-","Roda 2","",64027,""
"Kab. Katingan","-","-","2023","-","Roda 3","",114,""
"Kab. Katingan","-","-","2023","-","Roda 4","",7479,""
"Kab. Seruyan","-","-","2023","-","Roda 2","",43668,""
"Kab. Seruyan","-","-","2023","-","Roda 3","",133,""
"Kab. Seruyan","-","-","2023","-","Roda 4","",8553,""
"Kab. Sukamara","-","-","2023","-","Roda 2","",32461,""
"Kab. Sukamara","-","-","2023","-","Roda 3","",78,""
"Kab. Sukamara","-","-","2023","-","Roda 4","",4002,""
"Kab. Lamandau","-","-","2023","-","Roda 2","",55481,""
"Kab. Lamandau","-","-","2023","-","Roda 3","",79,""
"Kab. Lamandau","-","-","2023","-","Roda 4","",8535,""
"Kab. Gunung Mas","-","-","2023","-","Roda 2","",38150,""
"Kab. Gunung Mas","-","-","2023","-","Roda 3","",18,""
"Kab. Gunung Mas","-","-","2023","-","Roda 4","",5584,""
"Kab. Pulang Pisau","-","-","2023","-","Roda 2","",38273,""
"Kab. Pulang Pisau","-","-","2023","-","Roda 3","",112,""
"Kab. Pulang Pisau","-","-","2023","-","Roda 4","",4270,""
"Kab. Murung Raya","-","-","2023","-","Roda 2","",31137,""
"Kab. Murung Raya","-","-","2023","-","Roda 3","",64,""
"Kab. Murung Raya","-","-","2023","-","Roda 4","",3019,""
"Kab. Barito Timur","-","-","2023","-","Roda 2","",50751,""
"Kab. Barito Timur","-","-","2023","-","Roda 3","",89,""
"Kab. Barito Timur","-","-","2023","-","Roda 4","",3762,""
"Kota Palangkaraya","-","-","2023","-","Roda 2","",318384,""
"Kota Palangkaraya","-","-","2023","-","Roda 3","",1035,""
"Kota Palangkaraya","-","-","2023","-","Roda 4","",64708,""
